Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
PCAR,61.61,-5.94,2.12,6.87,8.86,-2.58%,34.76%,Auto - Domestic,Auto-Tires-Trucks,21341212000.00,21.34,1.28,49.11,3/23/2020,83.41,20.28891414,26.13595492,60.8682,Overvalued,-0.74,-1.22
PEAK,20.29,-12.94,-4.74,0.1,11.6,-52.42%,-11.87%,REIT - Equity Trust Other,Finance,10259274000.00,10.26,1.48,18.63,3/18/2020,37.93,8.181370133,46.50672291,1.16,Overvalued,-19.13,-1649.14
CMA,27.34,-23.66,-5.53,7.8,3.56,-40.04%,45.80%,Banks - Major Regional,Finance,3837005000.00,3.84,2.72,24.28,3/19/2020,80.62,11.1923921,66.0878194,27.768,Undervalued,0.43,1.54
PEP,124.59,-10.99,4.13,5.52,22.44,29.51%,0.72%,Beverages - Soft,Consumer Staples,173123408000.00,173.12,3.82,101.42,3/20/2020,147.2,18.59699815,15.36005435,123.8688,Overvalued,-0.72,-0.58
PFE,33.64,-0.66,2.74,2.95,11.14,-5.08%,4.32%,Large Cap Pharma,Medical,186622576000.00,186.62,1.52,27.88,3/23/2020,44.56,17.12247325,24.50628366,32.863,Overvalued,-0.78,-2.36
KSS,11.51,-25.92,-6.04,4.89,2.39,-85.32%,5.00%,Retail - Regional Dept Stores,Retail-Wholesale,1786882000.00,1.79,2.82,10.89,4/3/2020,75.91,5.38662033,84.83730734,11.6871,Undervalued,0.18,1.52
PG,115.08,-3.09,4.91,4.95,23.11,38.07%,-18.51%,Soap and Cleaning Products,Consumer Staples,284184640000.00,284.18,2.98,94.34,3/23/2020,128.09,18.02224539,10.15692091,114.3945,Overvalued,-0.69,-0.60
MNST,54.22,-9.56,-2.17,2.03,27.12,17.58%,70.43%,Beverages - Soft,Consumer Staples,29110502000.00,29.11,0,50.06,3/20/2020,70.52,7.672445592,23.11401021,55.0536,Undervalued,0.83,1.51
PH,115.81,-70.7,-5.47,11.78,10.09,-3.92%,8.36%,Machinery - General Industrial,Industrial Products,14865719000.00,14.87,3.52,93,3/18/2020,215.94,19.69605388,46.36936186,118.8602,Undervalued,3.05,2.57
KEYS,82.52,-10.99,4.24,4.61,18.17,122.73%,46.71%,Electronics - Measuring Inst,Computers and Technology,15463835000.00,15.46,0,71.03,5/29/2019,110,13.92389724,24.98181818,83.7637,Undervalued,1.24,1.48
MCHP,64.04,-25.37,-4.16,5.05,12.87,28.08%,177.00%,Semi Analog & Mixed,Computers and Technology,15340013000.00,15.34,1.47,53.15,3/19/2020,112.47,17.00499688,43.06037165,64.9935,Undervalued,0.95,1.47
DHI,32.14,-23.45,-4.74,4.53,7.2,12.34%,119.23%,Building - Residential & Comm,Construction,11774939000.00,11.77,0.7,25.51,3/18/2020,62.54,20.62850031,48.60889031,32.616,Undervalued,0.48,1.46
PLD,73.59,-15.8,-5.58,2.47,22.81,73.19%,89.15%,REIT - Equity Trust Other,Finance,54389632000.00,54.39,2.32,59.82,3/23/2020,99.79,18.71178149,26.25513579,56.3407,Overvalued,-17.25,-30.62
L,32.7,-14.38,-1,3.56,9.32,-20.57%,4.23%,Insurance - Multi Line,Finance,9410079000.00,9.41,0.25,28.52,3/23/2020,56.88,12.78287462,42.51054852,33.1792,Undervalued,0.48,1.44
FLS,23.76,-16.4,2.07,2.2,10.95,-57.40%,-19.13%,Machinery - General Industrial,Industrial Products,3110208000.00,3.11,0.8,18.98,3/23/2020,54.16,20.11784512,56.12998523,24.09,Undervalued,0.33,1.37
PNR,28.37,-11.1,-1.56,2.38,11.66,-54.72%,-57.99%,Machinery - Thermal Processing,Industrial Products,4755805000.00,4.76,0.76,22.01,3/23/2020,47.43,22.41804723,40.18553658,27.7508,Overvalued,-0.62,-2.23
AIZ,98.75,-24.5,-5.95,8.49,11.79,59.82%,-2.84%,Insurance - Multi Line,Finance,5907620000.00,5.91,2.52,76.27,3/19/2020,142.61,22.76455696,30.75520651,100.0971,Undervalued,1.35,1.35
MYL,13.74,-2.55,-1.14,4.42,3.15,-80.44%,48.98%,Medical - Generic Drugs,Medical,7092272000.00,7.09,0,12.75,3/16/2020,28.45,7.205240175,51.70474517,13.923,Undervalued,0.18,1.31
ATVI,59.98,1.23,3.02,2.07,29.36,161.69%,47.21%,Toys & Game & Hobby,Consumer Discretionary,46137876000.00,46.14,0.37,41.84,5/24/2019,64.53,30.24341447,7.050984038,60.7752,Undervalued,0.80,1.31
PRGO,44.36,-8.97,-1.74,4.03,10.62,-77.66%,5.07%,Medical Products,Medical,6038593000.00,6.04,0.9,40.01,4/2/2020,63.86,9.80613165,30.53554651,42.7986,Overvalued,-1.56,-3.65
ADI,86.56,-20.64,-2.11,4.84,18.12,34.74%,109.13%,Semi Analog & Mixed,Computers and Technology,31873122000.00,31.87,2.48,79.07,3/18/2020,127.3,8.652957486,32.00314218,87.7008,Undervalued,1.14,1.30
PSA,194.08,-23.64,2.56,7.29,17.97,0.20%,29.67%,REIT - Equity Trust Other,Finance,33917032000.00,33.92,8,155.37,3/23/2020,266.76,19.94538335,27.24546409,131.0013,Overvalued,-63.08,-48.15
CVX,75.11,-19.28,6.33,6.74,11.29,-29.74%,-30.88%,Oil - International Integrated,Oils-Energy,141156096000.00,141.16,5.16,51.6,3/19/2020,127.34,31.30075889,41.01617716,76.0946,Undervalued,0.98,1.29
ED,77.9,-5.94,0,4.36,18.1,28.00%,-2.67%,Utility - Electric Power,Utilities,26001072000.00,26.00,3.06,62.03,3/23/2020,95.1,20.37227214,18.08622503,78.916,Undervalued,1.02,1.29
VAR,96.35,-29.17,-4.62,4.74,20.59,2.08%,5.75%,Medical Instruments,Medical,8735669000.00,8.74,0,89.62,3/23/2020,150.06,6.984950701,35.79234973,97.5966,Undervalued,1.25,1.28
DISCK,16.84,-8.24,-0.32,3.7,4.61,-47.08%,77.88%,Broadcast - Radio & TV,Consumer Discretionary,8846305000.00,8.85,0,15.43,3/23/2020,31.2,8.372921615,46.02564103,17.057,Undervalued,0.22,1.27
CMCSA,33.95,-7.49,-0.62,3.12,11.02,13.53%,58.40%,Cable TV,Consumer Discretionary,154575520000.00,154.58,0.92,31.7,3/23/2020,47.74,6.627393225,28.8856305,34.3824,Undervalued,0.43,1.26
PYPL,92.39,-17.37,-1.09,2.35,39.8,0.00%,121.46%,Internet - Software,Computers and Technology,108369408000.00,108.37,0,82.07,3/23/2020,124.45,11.17004005,25.76134994,93.53,Undervalued,1.14,1.22
JBHT,89.76,-4.78,-0.3,5.21,17.44,2.38%,48.66%,Transportation - Truck,Transportation,9537808000.00,9.54,1.08,75.29,3/16/2020,122.29,16.12076649,26.60070325,90.8624,Undervalued,1.10,1.21
PM,73.46,-10.04,4.31,5.2,14.3,-5.70%,-62.79%,Tobacco,Consumer Staples,114385000000.00,114.39,4.68,56.01,3/23/2020,90.17,23.75442418,18.53166242,74.36,Undervalued,0.90,1.21
RE,178.02,-75.42,-11.27,21.35,8.79,-1.08%,42.15%,Insurance - Proprty & Casualty,Finance,7265529000.00,7.27,6.2,168.16,3/23/2020,294.31,5.538703516,39.51275866,187.6665,Undervalued,9.65,5.14
REG,32.27,-26.65,-8.22,1.46,8.47,-51.36%,110.66%,REIT - Equity Trust Retail,Finance,5412196000.00,5.41,2.38,31.8,4/3/2020,70.26,1.456461109,54.07059493,12.3662,Overvalued,-19.90,-160.95
REGN,493.32,31.77,43.8,21.46,23.24,6.92%,178.89%,Medical - Biomedical,Medical,54274076000.00,54.27,0,271.37,9/27/2019,518,44.99108084,4.764478764,498.7304,Undervalued,5.41,1.08
CDW,86.89,-28.72,-6.86,6.02,14.61,126.16%,49.34%,IT Services,Computers and Technology,12405459000.00,12.41,1.52,73.39,3/23/2020,146.09,15.53688572,40.5229653,87.9522,Undervalued,1.06,1.21
RHI,37.97,-10.47,-1.04,3.9,9.7,-36.18%,29.38%,Staffing,Business Services,4371107000.00,4.37,1.36,32.38,3/23/2020,69.08,14.72214907,45.03474233,37.83,Overvalued,-0.14,-0.37
HBI,7.17,-5.18,-1.02,1.77,4.1,-79.22%,30.84%,Textile - Apparel,Consumer Staples,2566028000.00,2.57,0.6,6.96,4/3/2020,19.1,2.928870293,62.46073298,7.257,Undervalued,0.09,1.20
PRU,46.09,-28.97,-6.95,11.69,3.99,-42.63%,19.78%,Insurance - Multi Line,Finance,18253668000.00,18.25,4.4,38.62,3/23/2020,106.39,16.20742026,56.67825923,46.6431,Undervalued,0.55,1.19
RMD,152.97,-12.27,11.02,3.98,37.72,104.45%,67.63%,Medical Products,Medical,22122064000.00,22.12,1.56,96.81,4/18/2019,177.99,36.713081,14.05696949,150.1256,Overvalued,-2.84,-1.89
ROK,146.78,-37.16,-4.68,8.56,17.49,31.58%,1.08%,Industrial Robotics,Computers and Technology,17053486000.00,17.05,4.08,115.38,3/23/2020,209.6,21.39256029,29.97137405,149.7144,Undervalued,2.93,1.96
ROL,36.05,-2.09,1.79,0.73,48.88,116.13%,42.78%,Building - Maint & Service,Construction,11816361000.00,11.82,0.48,30.72,3/25/2020,43.91,14.7850208,17.90025051,35.6824,Overvalued,-0.37,-1.03
ROP,299.68,-52.87,-6.11,13.05,23.38,75.96%,51.20%,Machinery - General Industrial,Industrial Products,31799044000.00,31.80,2.05,240,3/16/2020,395,19.91457555,24.13164557,305.109,Undervalued,5.43,1.78
MET,27.72,-14.85,-3.15,6.11,4.59,-38.91%,-5.04%,Insurance - Multi Line,Finance,25386752000.00,25.39,1.76,22.85,3/23/2020,53.28,17.56854257,47.97297297,28.0449,Undervalued,0.32,1.16
CHRW,68.15,-0.12,5.64,4.18,16.49,-5.43%,13.66%,Transportation - Services,Transportation,8950821000.00,8.95,2.04,56.94,3/16/2020,91.96,16.44900954,25.89169204,68.9282,Undervalued,0.78,1.13
RTN,116.7,-75.23,-25.32,11.93,9.8,6.13%,27.82%,Aerospace - Defense Equipment,Aerospace,32494064000.00,32.49,3.77,103,3/18/2020,233.48,11.739503,50.01713209,116.914,Undervalued,0.21,0.18
SBAC,264.8,-21.86,3.42,1.29,32.38,125.04%,31.94%,REIT - Equity Trust Other,Finance,29638798000.00,29.64,1.86,193.91,4/18/2019,309.85,26.77114804,14.53929321,41.7702,Overvalued,-223.03,-533.94
NLSN,12.17,-5.41,-0.83,1.67,7.37,-73.55%,3.34%,Business Information,Business Services,4337011000.00,4.34,0.24,11.62,4/2/2020,27.28,4.519309778,55.38856305,12.3079,Undervalued,0.14,1.12
FOX,21.59,-9.12,-0.45,2.31,9.45,0.00%,0.00%,Broadcast - Radio & TV,Consumer Discretionary,13101502000.00,13.10,0.46,19.13,3/23/2020,38.91,11.39416396,44.51297867,21.8295,Undervalued,0.24,1.10
FCX,6.32,-3.75,0.12,0.02,319.5,-65.46%,-32.82%,Mining - Non Ferrous,Basic Materials,9170144000.00,9.17,0.2,4.82,3/19/2020,14.68,23.73417722,56.94822888,6.39,Undervalued,0.07,1.10
SHW,420.03,-120.55,-39.63,21.09,20.72,44.51%,60.84%,Paint & Related Products,Construction,38560436000.00,38.56,5.36,325.43,3/18/2020,599.95,22.5222008,29.98916576,436.9848,Undervalued,16.95,3.88
SIVB,139.34,-59.29,-20,21.73,6.58,10.30%,141.15%,Banks - West,Finance,7182559000.00,7.18,0,127.39,3/16/2020,270.95,8.576144682,48.57353755,142.9834,Undervalued,3.64,2.55
SJM,112.33,6.08,9.3,8.27,13.33,-3.79%,39.70%,Food - Misc & Diversified,Consumer Staples,12809889000.00,12.81,3.52,91.88,3/16/2020,128.43,18.20528799,12.53601184,110.2391,Overvalued,-2.09,-1.90
SLB,14.29,-12.52,0.53,1.47,9.44,-83.96%,-32.24%,Oil - Field Services,Oils-Energy,19784720000.00,19.78,2,11.87,3/19/2020,48.88,16.93491952,70.76513912,13.8768,Overvalued,-0.41,-2.98
SLG,38.64,-42.07,-8.91,3.08,5.71,-69.78%,-18.49%,REIT - Equity Trust Other,Finance,3011408000.00,3.01,1.18,37.5,4/1/2020,96.39,2.950310559,59.91285403,17.5868,Overvalued,-21.05,-119.71
VZ,54.7,-1,1.93,4.81,11.49,11.13%,3.77%,Wireless National,Utilities,226231744000.00,226.23,2.46,48.84,3/25/2020,62.22,10.71297989,12.08614593,55.2669,Undervalued,0.57,1.03
SNPS,124.55,-15.57,0.17,3.13,41.1,160.56%,63.34%,Computer - Software,Computers and Technology,18749136000.00,18.75,0,104.9,3/23/2020,166.87,15.77679647,25.36105951,128.643,Undervalued,4.09,3.18
WBA,40.72,-5.4,-3.28,5.91,6.96,-55.75%,79.16%,Retail - Drug Stores,Retail-Wholesale,36072300000.00,36.07,1.83,39.4,4/2/2020,64.5,3.241650295,36.86821705,41.1336,Undervalued,0.41,1.01
SPG,46.72,-75.75,-11.45,6.81,3.66,-75.57%,18.16%,REIT - Equity Trust Retail,Finance,14971097000.00,14.97,8.4,42.25,4/2/2020,186.4,9.567636986,74.93562232,24.9246,Overvalued,-21.80,-87.45
SPGI,238.8,-41.34,-0.95,9.53,25.32,127.19%,32.63%,Business Information,Business Services,57477968000.00,57.48,2.68,186.05,3/18/2020,312.94,22.08961474,23.69144245,241.2996,Undervalued,2.50,1.04
SRE,104.28,-36.74,-16.85,6.07,17.51,-3.31%,-1.87%,Utility - Gas Distribution,Utilities,30490742000.00,30.49,4.18,88,3/23/2020,161.87,15.61181435,35.57793291,106.2857,Undervalued,2.01,1.89
STE,138.72,-22.31,8.98,5.53,25.24,96.35%,71.50%,Medical Instruments,Medical,11765260000.00,11.77,1.48,105.69,3/23/2020,168.98,23.81055363,17.90744467,139.5772,Undervalued,0.86,0.61
NLOK,18.29,-1,-0.64,0.97,19.04,-28.50%,-29.13%,Protection - Safety,Industrial Products,10981023000.00,10.98,0.5,15.12,3/18/2020,28.7,17.33187534,36.271777,18.4688,Undervalued,0.18,0.97
JWN,13.05,-20.39,-2.96,3.36,3.92,-83.74%,14.94%,Retail - Apparel & Shoes,Retail-Wholesale,2040315000.00,2.04,0,12.27,4/3/2020,46.2,5.977011494,71.75324675,13.1712,Undervalued,0.12,0.92
STZ,132.17,-45.42,-12.71,8.91,14.73,8.60%,66.73%,Beverages - Alcohol,Consumer Staples,25329850000.00,25.33,3,104.28,3/23/2020,214.48,21.10161156,38.3765386,131.2443,Overvalued,-0.93,-0.71
EXPD,67.1,-3.12,1.99,3.41,19.85,43.16%,24.54%,Transportation - Services,Transportation,11272061000.00,11.27,1,52.55,3/23/2020,81.64,21.68405365,17.80989711,67.6885,Undervalued,0.59,0.87
NUE,35.65,-6.22,2.29,4.23,8.5,-26.07%,7.03%,Steel - Producers,Basic Materials,10730650000.00,10.73,1.61,27.52,3/18/2020,61.17,22.80504909,41.71979729,35.955,Undervalued,0.31,0.85
HPE,9.3,-3.29,-0.52,1.8,5.21,0.00%,-47.15%,Computer - Integrated Systems,Computers and Technology,11981581000.00,11.98,0.48,7.43,3/18/2020,17.59,20.10752688,47.1290506,9.378,Undervalued,0.08,0.83
SYK,148.07,-40.76,-11.15,8.26,18.11,57.96%,53.84%,Medical Products,Medical,55500784000.00,55.50,2.3,124.54,3/23/2020,226.3,15.89113257,34.56915599,149.5886,Undervalued,1.52,1.02
PWR,30.56,-8,0.72,3.06,10.07,6.78%,54.27%,Engineering & R&D Services,Industrial Products,4355075000.00,4.36,0.2,23.77,3/23/2020,44.09,22.21858639,30.68723066,30.8142,Undervalued,0.25,0.82
LOW,82.2,-26.36,-4.78,5.72,14.49,9.75%,28.32%,Building Prds Retail - Wsale,Retail-Wholesale,63004240000.00,63.00,2.2,60,3/19/2020,126.73,27.00729927,35.13769431,82.8828,Undervalued,0.68,0.82
TAP,41.01,-9.42,2.95,4.54,8.81,-47.36%,155.15%,Beverages - Alcohol,Consumer Staples,8873744000.00,8.87,2.28,34.01,3/23/2020,64.32,17.06900756,36.24067164,39.9974,Overvalued,-1.01,-2.53
TDG,270.31,-286.76,-92.7,18.66,15.24,21.11%,120.12%,Aerospace - Defense Equipment,Aerospace,14512400000.00,14.51,0,200.06,3/18/2020,673.51,25.98867966,59.86548084,284.3784,Undervalued,14.07,4.95
CL,67.62,-4.16,2.36,2.83,24.09,-2.86%,-9.17%,Soap and Cleaning Products,Consumer Staples,57817132000.00,57.82,1.72,58.49,3/23/2020,77.41,13.50192251,12.64694484,68.1747,Undervalued,0.55,0.81
LDOS,87.94,-21.39,-5.5,5.16,17.18,106.38%,119.12%,Aerospace - Defense,Aerospace,12474026000.00,12.47,1.36,63.63,4/10/2019,125.84,27.64384808,30.11760966,88.6488,Undervalued,0.71,0.80
TFX,294.37,-42.74,11.86,11.15,26.48,142.98%,41.07%,Medical Instruments,Medical,13650228000.00,13.65,1.36,221.27,3/23/2020,398.65,24.83269355,26.15828421,295.252,Undervalued,0.88,0.30
MRK,76.25,-2.88,4.52,5.19,14.81,33.19%,10.90%,Large Cap Pharma,Medical,193390512000.00,193.39,2.44,65.25,3/23/2020,92.64,14.42622951,17.69214162,76.8639,Undervalued,0.61,0.80
TIF,128.28,-5.08,0.84,4.6,28.21,43.41%,4.10%,Retail - Jewelry,Retail-Wholesale,15538813000.00,15.54,2.32,78.6,8/28/2019,134.42,38.72778297,4.567772653,129.766,Undervalued,1.49,1.15
ORCL,49.4,0.55,-0.43,3.47,14.35,13.54%,3.22%,Computer - Software,Computers and Technology,155787056000.00,155.79,0.96,39.71,3/12/2020,60.5,19.61538462,18.34710744,49.7945,Undervalued,0.39,0.79
TMO,282.21,-28.15,7.87,12.34,23.3,111.03%,51.23%,Medical Instruments,Medical,112553248000.00,112.55,0.88,250.21,3/23/2020,342.26,11.33907374,17.54514112,287.522,Undervalued,5.31,1.85
PGR,75.94,-1.3,2.4,6.72,11.39,182.30%,101.24%,Insurance - Proprty & Casualty,Finance,44444192000.00,44.44,0.4,62.18,3/23/2020,84.96,18.11956808,10.61676083,76.5408,Undervalued,0.60,0.78
TPR,11.09,-12.27,-2.82,2.53,4.35,-74.23%,25.40%,Retail - Apparel & Shoes,Retail-Wholesale,3061162000.00,3.06,1.35,10.18,4/2/2020,36.06,8.205590622,69.24570161,11.0055,Overvalued,-0.08,-0.77
ZBH,92.01,-41.85,-2.93,7.87,11.78,-21.66%,70.80%,Medical Products,Medical,18991234000.00,18.99,0.96,74.37,3/18/2020,161.11,19.17182915,42.88995097,92.7086,Undervalued,0.70,0.75
DAL,22.48,-23.7,-7.07,7.33,3.09,-48.00%,16.46%,Transportation - Airline,Transportation,14389313000.00,14.39,0,19.1,3/18/2020,63.44,15.03558719,64.56494325,22.6497,Undervalued,0.17,0.75
PFG,26.41,-18.34,-6.19,5.59,4.76,-47.47%,54.83%,Finance - Investment Mgmt,Finance,7254510000.00,7.25,2.24,23.31,3/23/2020,60.81,11.73797804,56.56964315,26.6084,Undervalued,0.20,0.75
WU,17.72,-5.33,-2.02,1.71,10.44,-14.06%,-5.62%,Financial Transaction Services,Business Services,7320522000.00,7.32,0.9,17.39,4/1/2020,28.44,1.862302483,37.69338959,17.8524,Undervalued,0.13,0.74
GM,18.04,-12.48,-3.34,4.82,3.77,-50.67%,-11.99%,Auto - Domestic,Auto-Tires-Trucks,25779196000.00,25.78,1.52,14.32,3/18/2020,41.9,20.62084257,56.9451074,18.1714,Undervalued,0.13,0.72
TTWO,118.49,7.27,6.79,2.92,40.93,368.90%,13.52%,Toys & Game & Hobby,Consumer Discretionary,13439610000.00,13.44,0,87.97,4/17/2019,135.7,25.75744789,12.68238762,119.5156,Undervalued,1.03,0.86
TWTR,23.09,-11.84,-2.2,0.49,46.98,-55.54%,146.57%,Internet - Software,Computers and Technology,18063006000.00,18.06,0,20,3/18/2020,45.85,13.38241663,49.64013086,23.0202,Overvalued,-0.07,-0.30
NWL,11.99,-3.48,-1.62,1.74,6.94,-70.05%,69.63%,Consumer Prdts - Misc Staple,Consumer Staples,5077765000.00,5.08,0.92,10.44,3/23/2020,20.99,12.92743953,42.87756074,12.0756,Undervalued,0.09,0.71
TXT,24.85,-15.65,-1.84,3.75,6.53,-46.12%,-1.79%,Aerospace - Defense,Aerospace,5656979000.00,5.66,0.08,20.26,3/23/2020,58,18.47082495,57.15517241,24.4875,Overvalued,-0.36,-1.48
UA,7.48,-4.72,-0.84,0.34,20.26,0.00%,70.77%,Textile - Apparel,Consumer Staples,3379659000.00,3.38,0,6.6,4/3/2020,24.55,11.76470588,69.53156823,6.8884,Overvalued,-0.59,-8.59
UAA,8.22,-5.38,-1.22,0.34,22.91,-80.37%,70.77%,Textile - Apparel,Consumer Staples,3714010000.00,3.71,0,7.39,4/3/2020,27.72,10.0973236,70.34632035,7.7894,Overvalued,-0.43,-5.53
PXD,74.68,-45.35,6.03,8.19,9.18,-56.71%,84.06%,Oil - US Exploration & Product,Oils-Energy,12375596000.00,12.38,1.1,48.62,3/18/2020,178.22,34.89555437,58.09673437,75.1842,Undervalued,0.50,0.67
UDR,31.62,-15.75,-6.32,0.6,15.29,-4.15%,40.85%,REIT - Equity Trust Resident,Finance,9316233000.00,9.32,1.37,29.2,3/23/2020,51.25,7.653383934,38.30243902,9.174,Overvalued,-22.45,-244.67
ALXN,89.77,-3.95,5.76,9.71,9.3,-50.86%,123.44%,Medical - Biomedical,Medical,19937916000.00,19.94,0,72.67,3/16/2020,141.86,19.04867996,36.71930072,90.303,Undervalued,0.53,0.59
ULTA,156.74,-99.96,-17.71,11.92,13.54,3.34%,128.24%,Retail - Misc & Diversified,Retail-Wholesale,8825871000.00,8.83,0,124.05,3/18/2020,368.83,20.85619497,57.50345688,161.3968,Undervalued,4.66,2.89
UNH,229.49,-31.91,-12.96,15.11,15.91,92.85%,85.60%,Medical - HMO,Medical,217688016000.00,217.69,4.32,187.72,3/23/2020,306.71,18.20122881,25.17687718,240.4001,Undervalued,10.91,4.54
UNM,13.46,-9.33,-2.51,5.44,2.38,-60.27%,14.17%,Insurance - Accident & Health,Finance,2731990000.00,2.73,1.14,9.58,3/23/2020,38,28.82615156,64.57894737,12.9472,Overvalued,-0.51,-3.96
UNP,138.57,-18.77,-0.48,8.39,16.9,24.37%,-9.50%,Transportation - Rail,Transportation,95649472000.00,95.65,3.88,105.08,3/18/2020,188.96,24.16829039,26.66701948,141.791,Undervalued,3.22,2.27
EMN,45.09,-15.86,-1.38,7.12,6.37,-37.63%,-2.67%,Chemical - Diversified,Basic Materials,6127461000.00,6.13,2.64,34.44,3/18/2020,86.18,23.61942781,47.67927593,45.3544,Undervalued,0.26,0.58
TSN,53.82,-14.68,-4.77,5.54,9.77,36.67%,12.84%,Food - Meat Products,Consumer Staples,19646290000.00,19.65,1.68,42.57,3/18/2020,94.24,20.90301003,42.89049236,54.1258,Undervalued,0.31,0.56
FAST,30.48,-3.91,-0.56,1.38,22.21,52.36%,42.86%,Building Prds Retail - Wsale,Retail-Wholesale,17507590000.00,17.51,1,26.72,3/23/2020,39.31,12.33595801,22.46247774,30.6498,Undervalued,0.17,0.55
V,151.85,-33.88,-9.71,5.61,28.06,128.90%,80.89%,Financial Transaction Services,Business Services,298006560000.00,298.01,1.2,133.93,3/23/2020,214.17,11.80111953,29.09837979,157.4166,Undervalued,5.57,3.54
APH,68.42,-24.55,-5.85,3.74,18.39,14.91%,53.88%,Electronics - Connectors,Computers and Technology,20396070000.00,20.40,1,63.05,3/18/2020,110.24,7.848582286,37.93541364,68.7786,Undervalued,0.36,0.52
WDC,38.21,-18.72,-4.04,0.33,116.36,-60.15%,9.51%,Computer - Storage Devices,Computers and Technology,11422192000.00,11.42,2,27.4,3/19/2020,72,28.29102329,46.93055556,38.3988,Undervalued,0.19,0.49
VFC,48.88,-22.63,-8.91,3.39,14.49,-35.33%,12.75%,Textile - Apparel,Consumer Staples,19293914000.00,19.29,1.92,45.07,3/23/2020,100.25,7.794599018,51.24189526,49.1211,Undervalued,0.24,0.49
SWK,95.27,-39.08,-1.39,8.39,11.41,-1.27%,27.37%,Machinery - Tools & Related,Industrial Products,14673961000.00,14.67,2.76,70,3/23/2020,173.67,26.52461425,45.14308746,95.7299,Undervalued,0.46,0.48
TEL,58.69,-24.31,-4.09,5.46,10.8,-17.34%,-3.34%,Electronics - Misc Components,Computers and Technology,19585028000.00,19.59,1.84,48.62,3/19/2020,101,17.15794854,41.89108911,58.968,Undervalued,0.28,0.47
VNO,31.89,-22.65,-5.81,1.23,9.01,-62.89%,-26.98%,REIT - Equity Trust Other,Finance,6090543000.00,6.09,2.64,27.64,3/23/2020,70.45,13.32706177,54.7338538,11.0823,Overvalued,-20.81,-187.76
VRSK,141.65,-18.75,3.88,4.38,32.65,94.41%,49.26%,Business Information,Business Services,23099714000.00,23.10,1.08,116.61,3/23/2020,171.73,17.67737381,17.51586793,143.007,Undervalued,1.36,0.95
VRSN,182.69,-6.36,8.78,5.01,36.29,169.65%,21.93%,Internet Software Services,Computers and Technology,21268404000.00,21.27,0,148.77,3/23/2020,221.78,18.56697137,17.62557489,181.8129,Overvalued,-0.88,-0.48
VRTX,238.31,10.05,21.07,4.25,56.98,85.50%,617.21%,Medical - Biomedical,Medical,61786396000.00,61.79,0,163.68,4/18/2019,249.85,31.31635265,4.618771263,242.165,Undervalued,3.85,1.59
VTR,22.52,-29.63,-7.87,1.19,5.98,-69.59%,25.91%,REIT - Equity Trust Other,Finance,8396807000.00,8.40,3.17,13.35,3/18/2020,75.4,40.71936057,70.13262599,7.1162,Overvalued,-15.40,-216.46
STT,52.16,-13.69,3.5,6.18,8.48,-31.68%,22.87%,Banks - Major Regional,Finance,18482480000.00,18.48,2.08,42.1,3/18/2020,85.89,19.28680982,39.27116079,52.4064,Undervalued,0.25,0.47
WAB,44.06,-21.08,-3.52,4.19,10.46,-54.01%,169.34%,Transportation - Equip & Lease,Transportation,8446786000.00,8.45,0.48,35.07,3/18/2020,81.75,20.40399455,46.10397554,43.8274,Overvalued,-0.23,-0.53
WAT,179.94,-21.53,-5.42,9.07,20.51,43.07%,20.97%,Industrial Scientific,Computers and Technology,11184711000.00,11.18,0,154.39,3/23/2020,254.96,14.1991775,29.42422341,186.0257,Undervalued,6.09,3.27
ALLE,84.04,-35.3,-7.58,4.89,17.26,37.23%,34.73%,Protection - Safety,Industrial Products,7808744000.00,7.81,1.28,77.37,3/23/2020,139.24,7.936696811,39.64378052,84.4014,Undervalued,0.36,0.43
LNC,23.46,-20.79,-4,9.13,2.58,-58.70%,27.33%,Insurance - Life,Finance,4583427000.00,4.58,1.6,16.11,3/23/2020,67.52,31.32992327,65.25473934,23.5554,Undervalued,0.10,0.41
PPG,80.43,-23.96,-4.57,6.21,13,-29.91%,-1.39%,Chemical - Diversified,Basic Materials,18974242000.00,18.97,2.04,69.77,3/19/2020,134.36,13.25376103,40.13843406,80.73,Undervalued,0.30,0.37
WELL,37.26,-39.75,-12.44,3.23,9.3,-51.10%,53.17%,REIT - Equity Trust Other,Finance,15297316000.00,15.30,3.48,24.27,3/18/2020,93.17,34.86312399,60.00858645,30.039,Overvalued,-7.22,-24.04
INTC,54.13,-1.84,1.76,4.89,11.11,69.53%,28.81%,Semi General,Computers and Technology,231514016000.00,231.51,1.32,42.86,5/23/2019,69.29,20.82024755,21.87905903,54.3279,Undervalued,0.20,0.36
WHR,82.64,-45.23,-1.62,16,5.1,-57.77%,2.75%,Appliances - Household,Consumer Discretionary,5179710000.00,5.18,4.8,64,3/23/2020,163.64,22.55566312,49.49890002,81.6,Overvalued,-1.04,-1.27
WLTW,157.09,-40.07,-10.12,10.97,14.44,17.10%,137.74%,Insurance - Brokers,Finance,20220466000.00,20.22,2.72,143.34,3/23/2020,220.97,8.752944172,28.90890166,158.4068,Undervalued,1.32,0.83
